@relation restaurant
@attribute 'Alt' { 'No', 'Yes'}
@attribute	'Bar' { 'No', 'Yes'}
@attribute 'Fri' { 'No', 'Yes'}
@attribute 'Hun' { 'No', 'Yes'}
@attribute 'Pat' { 'None', 'Some', 'Full'}
@attribute 'Price' { '$', '$$', '$$$'}
@attribute 'Rain' { 'No', 'Yes'}
@attribute 'Res' { 'No', 'Yes'}
@attribute 'Type' { 'French', 'Thai', 'Burger', 'Italian'}
@attribute 'Est' { '0-10', '10-30', '30-60', '>60'}
@attribute 'Goal' { 'No', 'Yes', 'Maybe'}
@data
'No', 'No', 'No', 'No', 'None', '$', 'No', 'No', 'French', '0-10', 'No'
'Yes', 'No', 'No', 'Yes', 'None', '$', 'No', 'Yes', 'French', '0-10', 'No'
'No', 'Yes', 'No', 'No', 'None', '$', 'No', 'No', 'French', '30-60', 'No'
'No', 'No', 'No', 'Yes', 'None', '$$', 'No', 'No', 'French', '0-10', 'No'
'No', 'No', 'No', 'No', 'None', '$$', 'No', 'No', 'French', '0-10', 'No'
'No', 'No', 'No', 'Yes', 'None', '$', 'No', 'Yes', 'French', '0-10', 'Maybe'
'No', 'No', 'No', 'Yes', 'Full', '$', 'No', 'No', 'French', '0-10', 'No'
'Yes', 'No', 'No', 'No', 'Full', '$', 'No', 'No', 'French', '0-10', 'No'
'Yes', 'Yes', 'No', 'No', 'Full', '$$$', 'No', 'No', 'French', '30-60', 'No'
'No', 'No', 'Yes', 'No', 'None', '$', 'Yes', 'Yes', 'Burger', '>60', 'No'
'Yes', 'No', 'No', 'No', 'None', '$', 'No', 'Yes', 'French', '30-60', 'No'
'No', 'No', 'Yes', 'No', 'None', '$$', 'No', 'No', 'French', '30-60', 'Maybe'
'No', 'No', 'No', 'Yes', 'None', '$', 'No', 'No', 'French', '0-10', 'Maybe'
'No', 'Yes', 'No', 'No', 'Full', '$', 'Yes', 'No', 'French', '30-60', 'No'
'No', 'Yes', 'No', 'No', 'Full', '$', 'No', 'No', 'French', '0-10', 'Maybe'
'No', 'No', 'No', 'No', 'None', '$$$', 'No', 'No', 'Italian', '0-10', 'No'
'No', 'No', 'No', 'No', 'None', '$', 'Yes', 'No', 'French', '10-30', 'No'
'No', 'No', 'No', 'No', 'None', '$', 'No', 'Yes', 'French', '30-60', 'No'
'No', 'No', 'No', 'No', 'Full', '$$', 'No', 'No', 'Thai', '0-10', 'Maybe'
'No', 'Yes', 'No', 'Yes', 'Some', '$$$', 'No', 'No', 'Thai', '10-30', 'Yes'
'No', 'Yes', 'No', 'No', 'None', '$$$', 'No', 'Yes', 'Italian', '0-10', 'No'
'No', 'No', 'Yes', 'No', 'Some', '$', 'No', 'No', 'Italian', '0-10', 'No'
'No', 'No', 'Yes', 'Yes', 'None', '$$$', 'No', 'No', 'Thai', '30-60', 'Maybe'
'Yes', 'No', 'No', 'No', 'None', '$$', 'No', 'Yes', 'French', '0-10', 'No'
'Yes', 'No', 'No', 'Yes', 'Full', '$', 'Yes', 'No', 'Italian', '0-10', 'No'
'No', 'Yes', 'No', 'No', 'None', '$', 'No', 'No', 'Italian', '30-60', 'No'
'Yes', 'Yes', 'No', 'No', 'None', '$$', 'No', 'No', 'French', '10-30', 'No'
'No', 'No', 'Yes', 'No', 'None', '$', 'Yes', 'No', 'Italian', '10-30', 'No'
'No', 'No', 'No', 'Yes', 'None', '$', 'Yes', 'Yes', 'French', '0-10', 'No'
'No', 'No', 'Yes', 'No', 'Full', '$', 'Yes', 'Yes', 'Thai', '0-10', 'No'
'No', 'No', 'No', 'No', 'None', '$$', 'No', 'Yes', 'Burger', '0-10', 'Yes'
'Yes', 'Yes', 'Yes', 'No', 'None', '$', 'No', 'No', 'Italian', '0-10', 'No'
'No', 'No', 'No', 'Yes', 'Full', '$', 'No', 'Yes', 'French', '30-60', 'No'
'No', 'No', 'No', 'No', 'None', '$', 'Yes', 'No', 'French', '0-10', 'No'
'No', 'No', 'No', 'Yes', 'None', '$$$', 'No', 'No', 'French', '0-10', 'No'
'Yes', 'Yes', 'No', 'No', 'None', '$$$', 'Yes', 'Yes', 'French', '0-10', 'No'
'No', 'Yes', 'No', 'Yes', 'Full', '$', 'No', 'Yes', 'French', '0-10', 'No'
'No', 'No', 'Yes', 'Yes', 'None', '$', 'No', 'No', 'Thai', '0-10', 'Maybe'
'No', 'Yes', 'Yes', 'No', 'None', '$$$', 'No', 'No', 'French', '0-10', 'Maybe'
'Yes', 'No', 'No', 'Yes', 'Some', '$', 'No', 'No', 'French', '0-10', 'No'
'No', 'Yes', 'No', 'Yes', 'None', '$', 'No', 'No', 'French', '0-10', 'Maybe'
'No', 'No', 'No', 'No', 'None', '$', 'Yes', 'No', 'French', '0-10', 'No'
'No', 'Yes', 'No', 'No', 'None', '$$$', 'No', 'Yes', 'Italian', '>60', 'No'
'No', 'No', 'No', 'Yes', 'Full', '$$$', 'No', 'Yes', 'French', '0-10', 'No'
'Yes', 'Yes', 'No', 'No', 'None', '$', 'No', 'No', 'Italian', '0-10', 'No'
'Yes', 'No', 'No', 'No', 'None', '$$', 'No', 'No', 'Italian', '0-10', 'No'
'No', 'No', 'No', 'No', 'None', '$$$', 'Yes', 'No', 'Thai', '10-30', 'No'
'No', 'Yes', 'No', 'Yes', 'None', '$', 'No', 'Yes', 'Burger', '0-10', 'No'
'No', 'No', 'No', 'No', 'Full', '$$', 'No', 'No', 'Burger', '0-10', 'No'
'No', 'No', 'No', 'No', 'None', '$', 'Yes', 'No', 'French', '10-30', 'Maybe'
'No', 'Yes', 'No', 'No', 'Full', '$$$', 'Yes', 'No', 'French', '0-10', 'Maybe'
'No', 'No', 'Yes', 'No', 'None', '$', 'Yes', 'Yes', 'French', '30-60', 'Maybe'
'No', 'No', 'No', 'No', 'Full', '$$', 'No', 'Yes', 'French', '10-30', 'No'
'Yes', 'No', 'Yes', 'Yes', 'None', '$', 'No', 'Yes', 'French', '>60', 'Maybe'
'Yes', 'No', 'No', 'Yes', 'Some', '$', 'No', 'No', 'French', '30-60', 'No'
'No', 'Yes', 'No', 'No', 'None', '$', 'No', 'Yes', 'Italian', '10-30', 'Yes'
'No', 'No', 'No', 'Yes', 'None', '$', 'No', 'No', 'Burger', '0-10', 'No'
'No', 'Yes', 'No', 'No', 'Full', '$$$', 'No', 'Yes', 'French', '0-10', 'No'
'No', 'No', 'No', 'No', 'Full', '$', 'Yes', 'No', 'French', '0-10', 'No'
'Yes', 'No', 'Yes', 'Yes', 'Full', '$$$', 'No', 'No', 'French', '0-10', 'No'
'No', 'No', 'Yes', 'No', 'None', '$', 'No', 'No', 'French', '30-60', 'No'
'Yes', 'Yes', 'No', 'No', 'None', '$', 'No', 'No', 'Italian', '0-10', 'No'
'Yes', 'Yes', 'No', 'No', 'None', '$', 'Yes', 'No', 'Burger', '0-10', 'No'
'No', 'No', 'No', 'No', 'None', '$', 'Yes', 'No', 'French', '0-10', 'No'
'No', 'Yes', 'No', 'No', 'Some', '$', 'Yes', 'No', 'French', '0-10', 'Maybe'
'No', 'No', 'Yes', 'No', 'None', '$', 'No', 'No', 'Burger', '0-10', 'No'
'No', 'No', 'No', 'No', 'Some', '$$$', 'Yes', 'No', 'Thai', '0-10', 'Yes'
'No', 'Yes', 'No', 'Yes', 'None', '$', 'No', 'No', 'Italian', '>60', 'No'
'No', 'No', 'No', 'No', 'None', '$$', 'No', 'Yes', 'Italian', '0-10', 'No'
'Yes', 'Yes', 'No', 'Yes', 'Full', '$', 'No', 'Yes', 'French', '30-60', 'No'
'No', 'No', 'No', 'No', 'None', '$$$', 'Yes', 'No', 'French', '0-10', 'Yes'
'Yes', 'No', 'Yes', 'No', 'None', '$$$', 'Yes', 'No', 'French', '0-10', 'Maybe'
'No', 'No', 'No', 'Yes', 'None', '$', 'No', 'Yes', 'French', '0-10', 'No'
'No', 'Yes', 'No', 'No', 'Some', '$$', 'No', 'No', 'French', '10-30', 'No'
'No', 'No', 'No', 'Yes', 'None', '$$$', 'No', 'No', 'French', '0-10', 'Maybe'
'No', 'No', 'No', 'No', 'Some', '$', 'No', 'No', 'Italian', '0-10', 'No'
'No', 'Yes', 'Yes', 'No', 'Full', '$$$', 'No', 'No', 'French', '0-10', 'No'
'No', 'Yes', 'No', 'No', 'None', '$$$', 'No', 'No', 'Burger', '0-10', 'Maybe'
'No', 'No', 'No', 'Yes', 'Some', '$', 'No', 'No', 'French', '0-10', 'No'
